wkt_geom,ChamberTyp,CoverLevel,InvertDept,NodeRefere,NodeType,SewerUsage,InfCovLev,_band___va,_band___pa
Point (438672 556375),MH,,,NZ38566302,CH,C,36800,,
Point (438673 556399.5),MH,,,NZ38566301,CH,C,37070,,
Point (438679.49699999997392297 556396.00100000004749745),Null,,,NZ38566308,CE,C,37120,,
Point (438958.75 556514),MH,,,NZ38569502,CH,C,38130,,
Point (438937.5 556499.75),MH,,,NZ38569402,CH,C,38280,,
Point (438976 556572),MH,,,NZ38569510,CH,C,38440,,
Point (438965.5 556521),MH,,,NZ38569507,CH,C,38060,,
Point (437165 556635),MH,,,NZ37561607,CH,C,59440,,
Point (437158.5 556667),MH,,,NZ37561602,CH,C,59850,,
Point (437173.00199999997857958 556636.45200000004842877),Null,,,NZ37561615,J,C,59230,,
Point (437172 556611),MH,,,NZ37561605,CH,C,59290,,
Point (437182.59600000001955777 556613.50300000002607703),Null,,,NZ37561618,J,C,59140,,
Point (437182 556617.5),MH,,1890,NZ37561601,CH,C,59180,,
Point (437187 556584),MH,,,NZ37561501,CH,C,59690,,
Point (437183.2029999999795109 556609.43900000001303852),Null,,,NZ37561614,J,C,59100,,
Point (437194 556615),MH,,,NZ37561613,CH,C,58760,,
Point (437192 556718),MH,,620,NZ37561711,CH,C,54470,,
Point (436979 556581),Null,,,NZ3656WC01,ZZZ,W,64660,,
Point (436976.65500000002793968 556709.79899999999906868),MH,,1900,NZ36569702,CH,C,62910,,
Point (436982 556718),MH,,1550,NZ36569704,CH,C,62510,,
Point (436981.23499999998603016 556707.64699999999720603),Null,,,NZ36569706,J,C,62740,,
Point (436985.25 556686.5),MH,,1000,NZ3656P004,CH,C,63020,,
Point (436983 556629),MH,,1100,NZ36569622,CH,C,63300,,
Point (437099 556729),MH,,,NZ37560701,CH,C,59170,,
Point (437094.1309999999939464 556736.63399999996181577),Null,,,NZ37560718,J,C,58900,,
Point (437104 556743),MH,,,NZ37561704,CH,C,57980,,
Point (437102 556688),MH,,1610,NZ37561612,CH,C,60740,,
Point (437111.68900000001303852 556715.73300000000745058),Null,,,NZ37561715,J,C,59670,,
Point (437108 556703),MH,,1180,NZ37561703,CH,C,60960,,
Point (437119 556625),MH,,1070,NZ37561610,CH,C,61460,,
Point (437112 556620),MH,,870,NZ37561609,CH,C,61900,,
Point (437126 556650),MH,,,NZ37561611,CH,C,60080,,
Point (437122.5 556640),MH,,,NZ37561603,CH,C,60690,,
Point (437130.68800000002374873 556646.12600000004749745),Null,,,NZ37561617,J,C,59980,,
Point (437129.9280000000144355 556645.67000000004190952),Null,,,NZ37561616,J,C,60250,,
Point (437143 556683),MH,,,NZ37561604,CH,C,60890,,
Point (437134 556640),MH,,,NZ37561608,CH,C,60150,,
Point (437152 556634),MH,,760,NZ37561606,CH,C,59760,,
Point (437147 556749),MH,,790,NZ37561710,CH,C,54930,,
Point (437443 556667),MH,,1170,NZ37564606,CH,C,54020,,
Point (437416.71700000000419095 556659.64500000001862645),Null,,,NZ37564610,ZZZ,C,54340,,
Point (437248.75300000002607703 556669.36999999999534339),Null,,,NZ37562609,J,C,54390,,
Point (437240 556668),MH,,,NZ37562604,CH,C,54680,,
Point (437234 556710),MH,,,NZ37562704,CH,C,53610,,
Point (437256 556679),MH,,1100,NZ37562607,CH,C,54060,,
Point (437245.89299999998183921 556712.89000000001396984),Null,,,NZ37562708,J,C,53520,,
Point (437259 556710),MH,,1030,NZ37562707,CH,C,53390,,
Point (437245 556726.5),MH,,,NZ37562702,CH,C,53070,,
Point (437250 556717.5),MH,,,NZ37562703,CH,S,53320,,
Point (437051.43200000002980232 556699.64000000001396984),MH,,,NZ37560609,CH,C,60770,,
Point (437230 556742),MH,,890,NZ37562705,CH,C,52720,,
Point (437060 556739),MH,,,NZ37560713,CH,C,59310,,
Point (437059.5 556697.5),MH,,,NZ37560602,CH,C,60680,,
Point (437080 556704),MH,,,NZ3756WC07,CH,W,60630,,
Point (437073 556745),MH,,1180,NZ37560712,CH,C,59280,,
Point (437389 556623.5),MH,,,NZ37563601,CH,C,55590,,
Point (437345 556623),MH,,1380,NZ37563606,CH,S,55890,,
Point (437242 556627),MH,,,NZ37562602,CH,S,56270,,
Point (437275 556625),MH,,,NZ37562605,CH,C,55730,,
Point (437315 556630),MH,,,NZ37563608,CH,C,55510,,
Point (437364 556628),MH,,1820,NZ37563604,CH,C,55560,,
Point (437359 556643),MH,,,NZ37563605,CH,C,54960,,
Point (437389 556636),MH,,1530,NZ37563602,CH,C,54990,,
Point (437258 556645),MH,,1370,NZ37562606,CH,C,54930,,
Point (437416.15200000000186265 556644.52899999998044223),Null,,,NZ37564609,ZZZ,C,54850,,
Point (437240 556650),MH,,1220,NZ37562603,CH,C,55040,,
Point (437420.39000000001396984 556645.51800000004004687),Null,,,NZ37564611,ZZZ,S,54690,,
Point (437447 556653),MH,,900,NZ37564605,CH,S,54580,,
Point (437386 556650),MH,,660,NZ37563603,CH,C,54480,,
Point (437412.33799999998882413 556658.09100000001490116),Null,,,NZ37564608,ZZZ,C,54330,,
Point (437249.5 556658),MH,,,NZ37562601,CH,C,54620,,
Point (437532 556784),MH,,1230,NZ37565709,CH,C,49370,,
Point (437531.5 556725.5),MH,,,NZ37565706,CH,C,51740,,
Point (437540.5 556847),MH,,2110,NZ37565806,CH,C,46550,,
Point (437540 556785),MH,,,NZ37565712,CH,C,49130,,
Point (437543.79899999999906868 556749.13800000003539026),Null,,,NZ37565714,ZZZ,C,50860,,
Point (437542 556635.5),MH,,,NZ37565603,CH,C,55910,,
Point (437550 556792),MH,,1140,NZ37565713,CH,C,48890,,
Point (437550 556637.5),MH,,,NZ37565602,CH,C,55930,,
Point (437557.2029999999795109 556798.13300000003073364),Null,,,NZ37565718,J,C,48750,,
Point (437551.67099999997299165 556752.12399999995250255),Null,,,NZ37565715,ZZZ,C,50620,,
Point (437559.1840000000083819 556702.81400000001303852),MH,,,NZ37565708,CH,C,52770,,
Point (437559 556890.46699999994598329),Null,,,NZ37565817,J,C,44640,,
Point (437207 556614),MH,,,NZ37562608,CH,C,58080,,
Point (437295 556597.25),MH,,,NZ37562501,CH,C,57640,,
Point (437366.73200000001816079 556617.28099999995902181),Null,,,NZ37563609,J,C,56080,,
Point (437316 556615),MH,,960,NZ37563607,CH,S,56450,,
Point (437481.77799999999115244 556869.10800000000745058),Null,,,NZ37564806,J,C,46090,,
Point (437480.5 556873),MH,,,NZ37564801,CH,C,45880,,
Point (437487 556680),MH,,1660,NZ37564603,CH,C,53670,,
Point (437484.5 556651),MH,,3600,NZ37564601,CH,C,54880,,
Point (437492.5 556817),MH,,,NZ37564803,CH,C,48110,,
Point (437491 556666),MH,,2090,NZ37564602,CH,C,54340,,
Point (437494.70799999998416752 556653.89199999999254942),Null,,,NZ37564607,J,C,54960,,
Point (437493.5 556834.5),MH,,2480,NZ37564807,CH,C,47480,,
Point (437507 556773),MH,,,NZ37565711,CH,C,49890,,
Point (437498.82600000000093132 556819.15000000002328306),Null,,,NZ37564805,J,C,48070,,
Point (437513.58600000001024455 556775.41799999994691461),Null,,,NZ37565717,J,C,49640,,
Point (437513.16700000001583248 556777.08999999996740371),Null,,,NZ37565716,J,C,49640,,
Point (437518.62099999998463318 556698.57999999995809048),Null,,,NZ37565605,ZZZ,C,53110,,
Point (437514.22100000001955777 556627.09799999999813735),MH,,,NZ37565604,CH,C,55880,,
Point (437527.5 556886),MH,,,NZ37565805,CH,C,44940,,
Point (437519 556779),MH,,1290,NZ37565710,CH,C,49620,,
Point (437756.5 556726.5),MH,,,NZ37567702,CH,C,50580,,
Point (437754 556730.5),Null,,,NZ37567706,J,C,50480,,
Point (437771.5 556853.5),MH,,,NZ37567802,CH,C,45640,,
Point (437761 556733),MH,,,NZ37567701,CH,C,50320,,
Point (437775.9940000000060536 556738.00100000004749745),Null,,,NZ37567707,CE,C,49880,,
Point (437772 556703),MH,,,NZ37567704,CH,C,50670,,
Point (437789.99200000002747402 556743.49399999994784594),Null,,,NZ37567709,CE,C,49530,,
Point (437778 556705.5),MH,,,NZ37567703,CH,C,50570,,
Point (437804 556743.5),MH,,,NZ37568703,CH,C,49280,,
Point (437803.83199999999487773 556794.3349999999627471),MH,,,NZ37568702,CH,C,48310,,
Point (437817 556768.5),MH,,,NZ37568701,CH,C,49430,,
Point (437806 556750),MH,,,NZ37568704,CH,C,49090,,
Point (437462 556861.75),MH,,,NZ37564802,CH,C,46570,,
Point (437841 556890),MH,,,NZ37568801,CH,C,44050,,
Point (437479 556812.25),MH,,,NZ37564804,CH,C,48480,,
Point (437465 556657),MH,,1160,NZ37564604,CH,C,54540,,
Point (437660.5 556885.5),MH,,,NZ37566805,CH,C,44910,,
Point (437651 556701),MH,,,NZ37566701,CH,C,53180,,
Point (437672.5 556797),MH,,,NZ37566706,CH,C,49300,,
Point (437664 556712.5),MH,,,NZ37566702,CH,C,52600,,
Point (437686.5 556893.75),MH,,,NZ37566801,CH,C,44740,,
Point (437684.5 556755.5),MH,,,NZ37566705,CH,S,50770,,
Point (437690 556893),MH,,,NZ37566802,CH,C,44750,,
Point (437687 556802),MH,,,NZ37566806,CH,C,49070,,
Point (437703 556675.5),MH,,,NZ37567601,CH,C,53450,,
Point (437699.5 556681.25),MH,,,NZ37566601,CH,C,53410,,
Point (437714.99900000001071021 556821.99899999995250255),Null,,,NZ37567803,CE,C,47880,,
Point (437710 556808.75),MH,,,NZ37567804,CH,C,48500,,
Point (437744.5 556694),Null,,,NZ37567609,J,C,51320,,
Point (437718 556811.5),MH,,,NZ37567801,CH,C,48190,,
Point (437751.99900000001071021 556732.98999999999068677),Null,,,NZ37567705,CE,C,50480,,
Point (437747 556690),MH,,,NZ37567603,CH,C,51200,,
Point (437593.5 556780),MH,,,NZ37565701,CH,C,49980,,
Point (437590.5 556886.5),MH,,,NZ37565803,CH,C,44920,,
Point (437596 556822),MH,,760,NZ37565807,CH,C,48040,,
Point (437594 556827),MH,,840,NZ37565808,CH,C,47800,,
Point (437601 556811),MH,,700,NZ37566808,CH,C,48530,,
Point (437598.5 556774),MH,,1430,NZ37565702,CH,C,50460,,
Point (437606 556795),MH,,770,NZ37566710,CH,C,49260,,
Point (437602 556805),MH,,980,NZ37566807,CH,C,48770,,
Point (437614 556871),MH,,,NZ37566803,CH,C,45660,,
Point (437612.61700000002747402 556719.10300000000279397),MH,,,NZ37566708,CH,C,53070,,
Point (437624 556697.5),FC,,,NZ37566604,CH,C,53950,,
Point (437616.40899999998509884 556720.40700000000651926),Null,,,NZ37566709,J,C,52830,,
Point (437639 556796.25),MH,,,NZ37566707,CH,C,49280,,
Point (437638 556786),MH,,,NZ37566704,CH,C,49760,,
Point (437649.75 556882.5),MH,,,NZ37566804,CH,C,45240,,
Point (437643 556773),MH,,,NZ37566703,CH,C,50490,,
Point (437571.41000000003259629 556850.52899999998044223),Null,,,NZ37565816,J,C,46570,,
Point (437569.5 556857),MH,,1830,NZ37565801,CH,C,46330,,
Point (437574 556749),MH,,,NZ37565705,CH,C,51250,,
Point (437573 556894),MH,,1050,NZ37565814,CH,C,44660,,
Point (437579 556877),MH,,770,NZ37565812,CH,C,45370,,
Point (437575 556888),MH,,1050,NZ37565813,CH,C,44900,,
Point (437582 556793.75),MH,,,NZ37565703,CH,C,49490,,
Point (437580.16899999999441206 556822.41599999996833503),Null,,,NZ37565815,J,C,48030,,
Point (437584 556854),MH,,1090,NZ37565811,CH,C,46580,,
Point (437584 556810),MH,,,NZ37565802,CH,C,48520,,
Point (437586 556862),MH,,,NZ37565804,CH,C,46100,,
Point (437585.13199999998323619 556806.45900000003166497),Null,,,NZ37565818,J,C,48760,,
Point (437586.5 556779),Null,,,NZ37565707,ZZZ,C,50220,,
Point (437586 556850),MH,,1000,NZ37565810,CH,C,46580,,
Point (437590 556839),MH,,600,NZ37565809,CH,C,47310,,
Point (437588 556797.5),MH,,,NZ37565704,CH,C,49250,,
Point (437203 556870),MH,,780,NZ37562815,CH,C,49330,,
Point (437224 556869),MH,,810,NZ37562813,CH,S,49010,,
Point (437271.29100000002654269 556871.72800000000279397),Null,,,NZ37562825,J,C,49410,,
Point (437250.24200000002747402 556871.162999999942258),MH,,1540,NZ37562818,CH,C,49030,,
Point (437270 556876),MH,,,NZ37562819,CH,C,49040,,
Point (437265 556875),MH,,,NZ37562817,CH,C,48950,,
Point (437224 556879),MH,,1740,NZ37562811,CH,C,48570,,
Point (437215 556878),MH,,1650,NZ37562812,CH,C,48710,,
Point (437237.16000000003259629 556879.01399999996647239),Null,,,NZ37562823,J,C,48470,,
Point (437228 556879),MH,,1690,NZ37562810,CH,C,48420,,
Point (437323 556888.5),MH,,,NZ37563801,CH,C,48650,,
Point (437319.11700000002747402 556887.23999999999068677),Null,,,NZ37563803,J,C,48720,,
Point (437318 556893),MH,,1100,NZ37563802,CH,C,48400,,
Point (437265.35800000000745058 556890.37600000004749745),MH,,,NZ37562826,CH,C,47990,,
Point (437567.5 556675.5),MH,,,NZ37565601,CH,C,54460,,
Point (437296.15399999998044223 556900.03399999998509884),MH,,560,NZ37562927,CH,C,47810,,
Point (437240.5 556792),MH,,,NZ37562701,CH,C,51170,,
Point (437215 556744),MH,,1350,NZ37562706,CH,C,52810,,
Point (437231 556802),MH,,1550,NZ37562805,CH,C,50910,,
Point (437217 556801),MH,,,NZ37562806,CH,C,50620,,
Point (437245.5 556805.5),MH,,,NZ37562804,CH,S,50700,,
Point (437239.77500000002328306 556802.94700000004377216),Null,,,NZ37562816,J,C,50910,,
Point (437211 556825.75),MH,,,NZ3756WC11,CH,W,49880,,
Point (437229 556818),MH,,730,NZ37562807,CH,C,49930,,
Point (437247 556840),MH,,,NZ37562809,CH,C,49500,,
Point (437262 556837),MH,,,NZ37562808,CH,C,50310,,
Point (437210.47800000000279397 556851.02500000002328306),Null,,,NZ37562822,J,C,49260,,
Point (437237.143999999971129 556842.69799999997485429),Null,,,NZ37562820,J,C,49290,,
Point (437207 556859),MH,,1010,NZ37562814,CH,C,49320,,
Point (437246.5 556855),MH,,,NZ3756WC05,CH,W,49820,,
Point (437249.8159999999916181 556864.52599999995436519),Null,,,NZ37562824,J,C,49590,,
Point (437236 556860),MH,,2350,NZ37562801,CH,C,49400,,
Point (437071.69300000002840534 556776.337000000057742),Null,,,NZ37560717,J,C,57500,,
Point (437062.981000000028871 556888.24399999994784594),Null,,,NZ37560808,J,C,52440,,
Point (437077 556763.5),MH,,,NZ37560702,CH,C,58050,,
Point (437075.5 556850),MH,,,NZ37560804,CH,C,53700,,
Point (437082 556775),MH,,,NZ37560714,CH,S,56810,,
Point (437078.99900000001071021 556832.99899999995250255),Null,,,NZ37560806,CE,C,54480,,
Point (437089 556809),MH,,,NZ37560803,CH,C,54980,,
Point (437084.17399999999906868 556752.24800000002142042),Null,,,NZ37560716,J,C,58300,,
Point (437095 556888),MH,,1470,NZ37560813,CH,C,51380,,
Point (437092.02899999998044223 556897.53399999998509884),Null,,,NZ37560817,J,C,51210,,
Point (437096 556781),MH,,,NZ37560715,CH,C,55500,,
Point (437095.58000000001629815 556898.67000000004190952),Null,,,NZ37560818,J,C,51000,,
Point (437109 556867),MH,,920,NZ37561807,CH,C,51820,,
Point (437099 556875),MH,,,NZ37560814,CH,C,51760,,
Point (437114 556826),MH,,1890,NZ37561808,CH,C,53180,,
Point (437109 556841),MH,,1090,NZ37561809,CH,C,52770,,
Point (436970.10899999999674037 556822.875),MH,,,NZ36569806,CH,F,58860,,
Point (437192 556833),MH,,,NZ37561803,CH,C,50440,,
Point (436980.34899999998742715 556842.97400000004563481),MH,,,NZ36569808,CH,F,57660,,
Point (436977.60999999998603016 556845.71799999999348074),MH,,,NZ36569809,CH,C,57860,,
Point (437016.18200000002980232 556750.393999999971129),MH,,,NZ37560706,CH,S,60660,,
Point (436989 556865),MH,,2080,NZ36569801,CH,C,56710,,
Point (437026 556887.99600000004284084),Null,,,NZ3756WC04,CE,W,53880,,
Point (437023 556841),MH,,,NZ37560812,CH,C,54850,,
Point (437033 556844),MH,,1750,NZ37560811,CH,C,54720,,
Point (437032 556804),MH,,1050,NZ37560810,CH,C,58410,,
Point (437045 556808),MH,,840,NZ37560809,CH,C,57520,,
Point (437035.5 556879.5),MH,,,NZ37560801,CH,C,53630,,
Point (437052 556895),MH,,,NZ3756WC03,CH,W,52640,,
Point (437045.88699999998789281 556848.13699999998789281),Null,,,NZ37560816,J,C,54700,,
Point (437061.5 556801),MH,,,NZ37560802,CH,C,56780,,
Point (437057.57000000000698492 556812.86399999994318932),Null,,,NZ37560815,J,C,56570,,
Point (437151 556893),MH,,550,NZ37561811,CH,C,49800,,
Point (437151 556881),MH,,500,NZ37561813,CH,C,50040,,
Point (437154.32900000002700835 556799.25600000005215406),Null,,,NZ37561716,J,C,52960,,
Point (437153 556782),MH,,,NZ37561708,CH,C,53380,,
Point (437158.99800000002142042 556784.86899999994784594),Null,,,NZ37561718,J,C,53190,,
Point (437155.5 556784.5),MH,,,NZ3756WC09,CH,W,53190,,
Point (437161 556754),MH,,820,NZ37561709,CH,C,53710,,
Point (437159.95400000002700835 556781.92399999999906868),Null,,,NZ37561717,J,C,53190,,
Point (437165 556785),MH,,,NZ37561714,CH,C,52670,,
Point (437163.5 556771),MH,,,NZ37561702,CH,C,53270,,
Point (437172.33199999999487773 556861.48699999996460974),Null,,,NZ37561824,ZZZ,C,49940,,
Point (437167.42300000000977889 556835.88500000000931323),Null,,,NZ37561815,J,C,51050,,
Point (437181 556830),MH,,,NZ37561804,CH,C,50760,,
Point (437175 556759),MH,,530,NZ37561712,CH,C,53030,,
Point (437190 556764),MH,,360,NZ37561713,CH,C,52470,,
Point (437188.3879999999771826 556843.25699999998323619),Null,,,NZ37561825,J,C,50220,,
Point (438374.5 556896),MH,,,NZ38563806,CH,C,38630,,
Point (438374.5 556891),MH,,,NZ38563804,CH,C,38740,,
Point (437117.84000000002561137 556818.78399999998509884),Null,,,NZ37561816,J,C,53390,,
Point (437116.28000000002793968 556818.25500000000465661),Null,,,NZ37561814,J,C,53390,,
Point (437121 556870),MH,,,NZ37561806,CH,C,51150,,
Point (437119 556812),MH,,1290,NZ37561805,CH,C,53580,,
Point (437128.90299999999115244 556876.08799999998882413),Null,,,NZ37561818,J,C,50810,,
Point (437124 556797),MH,,,NZ37561705,CH,C,53990,,
Point (437134.5 556860),MH,,,NZ37561801,CH,C,51210,,
Point (437129.97100000001955777 556873.01800000004004687),Null,,,NZ37561817,J,C,51000,,
Point (437137 556878),MH,,1400,NZ37561812,CH,C,50490,,
Point (437135 556794),MH,,900,NZ37561707,CH,C,53670,,
Point (437148 556798),MH,,940,NZ37561706,CH,C,53150,,
Point (437145 556828),MH,,,NZ37561802,CH,C,52060,,
Point (437150 556896),MH,,620,NZ37561810,CH,C,49580,,
Point (437149 556900),MH,,650,NZ37561907,CH,C,49500,,
Point (436496 556940),MH,,850,NZ36564906,CH,C,75600,,
Point (436505 556938),MH,,1330,NZ36565915,CH,C,75160,,
Point (436544.01600000000325963 556945.07900000002700835),Null,,,NZ36565949,J,C,73160,,
Point (436514.5 556942),MH,,1220,NZ36565901,CH,C,74540,,
Point (436572 556948),MH,,2350,NZ36565902,CH,C,72410,,
Point (436562.6969999999855645 556947.19999999995343387),MH,,,NZ36565955,CH,C,72620,,
Point (436542 556953),MH,,,NZ36565924,CH,S,72700,,
Point (436587.49699999997392297 556950.25),Null,,,NZ36565948,CE,C,72140,,
Point (436590 556959),MH,,1470,NZ36565903,CH,C,71550,,
Point (436589.86700000002747402 556979.40899999998509884),MH,,800,NZ36565934,CH,C,70450,,
Point (436594 556921),MH,,970,NZ36565909,CH,C,73560,,
Point (436592 556971),MH,,690,NZ36565904,CH,C,70670,,
Point (436595.22899999999208376 556949.60400000005029142),Null,,,NZ36565947,CE,C,71860,,
Point (436595 556916),MH,,900,NZ36565910,CH,C,73550,,
Point (436596 556912),MH,,970,NZ36565911,CH,C,73800,,
Point (436596 556930),MH,,1080,NZ36565907,CH,C,72740,,
Point (436524 556917),MH,,1440,NZ36565938,CH,C,75280,,
Point (436497 556915),MH,,730,NZ36564904,CH,C,75830,,
Point (436555 556920),MH,,,NZ36565941,CH,C,74060,,
Point (436537 556918),MH,,1160,NZ36565937,CH,C,74670,,
Point (436566 556921.30000000004656613),MH,,1550,NZ36565942,CH,C,73960,,
Point (436583 556921),MH,,1380,NZ36565908,CH,C,73800,,
Point (436548.70899999997345731 556922.04399999999441206),MH,,,NZ36565954,CH,C,74140,,
Point (436506 556922),MH,,,NZ36565914,CH,C,75710,,
Point (436516.28100000001722947 556924.84999999997671694),Null,,,NZ36565950,J,C,75290,,
Point (436574.02799999999115244 556922.08400000003166497),MH,,,NZ36565946,CH,C,73910,,
Point (436554 556925),MH,,1400,NZ36565936,CH,C,73900,,
Point (436521 556925),MH,,,NZ36565939,CH,C,74760,,
Point (436497 556927),MH,,1010,NZ36564905,CH,C,75760,,
Point (436547.63199999998323619 556926.76800000004004687),MH,,1170,NZ36565935,CH,C,73940,,
Point (436573.45000000001164153 556932.79399999999441206),Null,,,NZ36565951,J,C,73530,,
Point (436566.39299999998183921 556929.94400000001769513),MH,,1430,NZ36565944,CH,C,73770,,
Point (439565.03899999998975545 556400.01399999996647239),Null,,,NZ39565401,LH,C,40380,,
Point (439535.25 556388),MH,,,NZ39565302,CH,C,40730,,
Point (439574.75 556375.5),Null,,,NZ39565301,LH,C,40480,,
Point (439566.17999999999301508 556396.98600000003352761),Null,,,NZ39565304,J,C,40380,,
Point (439638.5 556322),MH,,,NZ39566304,CH,C,40570,,
Point (439632.5 556323),MH,,,NZ39566302,CH,C,40480,,
Point (439703 556339),MH,,,NZ39567302,CH,C,41630,,
Point (439684 556335),MH,,,NZ39566303,CH,C,41300,,
Point (436538 556904),MH,,950,NZ36565940,CH,C,75020,,
Point (439869 556340),MH,,,NZ39568301,CH,C,40790,,
Point (436554 556905),MH,,1230,NZ36565945,CH,C,74430,,
Point (436518.18599999998696148 556904.212000000057742),MH,,,NZ36565952,CH,C,75930,,
Point (436518.04499999998370185 556906.44200000003911555),Null,,,NZ36565956,CE,C,75820,,
Point (436500 556906),MH,,710,NZ36565913,CH,C,75950,,
Point (436554 556911),MH,,1000,NZ36565943,CH,C,74440,,
Point (436549.2900000000372529 556907.57900000002700835),MH,,,NZ36565953,CH,C,74490,,
Point (438496 556415),MH,,,NZ38564409,CH,C,41390,,
Point (438602.5 556408),MH,,,NZ38566403,CH,C,37830,,
Point (438501.5 556417),MH,,,NZ38565402,CH,C,41160,,
Point (438539 556417),MH,,,NZ38565403,CH,C,39550,,
Point (438520.5 556423.5),MH,,,NZ38565401,CH,C,39980,,
Point (438514 556421),MH,,,NZ38565409,CH,C,40560,,
Point (438565 556426),MH,,,NZ38565404,CH,C,38930,,
Point (438527 556423.5),MH,,,NZ38565408,CH,C,39830,,
Point (438586.5 556433.5),MH,,,NZ38565405,CH,C,38400,,
Point (438556.5 556430),MH,,,NZ38565407,CH,S,39200,,
Point (440643.5 556285),MH,,5000,NZ40566207,CH,C,21000,,
Point (438580.5 556438.5),MH,,,NZ38565406,CH,S,38590,,
Point (440634.5 556287.25),MH,,,NZ40566208,CH,C,21000,,
Point (440654.25 556286),MH,,,NZ40566210,CH,C,20770,,
Point (440440.5 556297.5),MH,,,NZ40564205,CH,C,22980,,
Point (440563 556296),MH,,,NZ40565201,CH,C,21000,,
Point (437670 556487),MH,,1150,NZ37566405,CH,C,54400,,
Point (437605.10300000000279397 556472.99800000002142042),MH,,,NZ37566407,CH,C,55480,,
Point (438006 556378.5),MH,,,NZ38560301,CH,C,51530,,
Point (437593.64600000000791624 556491.57099999999627471),MH,,,NZ37565401,CH,C,55380,,
Point (438045.5 556397),Null,,,NZ38560305,J,C,49860,,
Point (437868 556384),MH,,2350,NZ37568302,CH,C,54880,,
Point (438040.3159999999916181 556409.10800000000745058),Null,,,NZ38560401,RE,S,49340,,
Point (438133.5 556398.5),MH,,,NZ38561301,CH,C,50200,,
Point (438544.5 556376),MH,,,NZ38565302,CH,C,39280,,
Point (438499.5 556362),MH,,,NZ38564304,CH,C,40830,,
Point (438493 556382),MH,,,NZ38564303,CH,C,41450,,
Point (438595.5 556381.5),MH,,,NZ38565303,CH,C,37850,,
Point (438599 556399),MH,,,NZ38565301,CH,C,37930,,
Point (438421 556385),MH,,,NZ38564302,CH,C,45840,,
Point (438483 556407.5),MH,,,NZ38564403,CH,C,42620,,
Point (438460.5 556404),MH,,,NZ38564407,CH,C,44050,,
Point (437799 556397),MH,,,NZ37567301,CH,C,53940,,
Point (437655.07000000000698492 556396.68000000005122274),MH,,,NZ37566305,CH,C,56460,,
Point (437861 556398),MH,,,NZ37568303,CH,C,54700,,
Point (437706 556397.5),MH,,,NZ37567303,CH,C,54310,,
Point (437725.5 556408.5),MH,,,NZ37567403,CH,C,54260,,
Point (437807 556398),MH,,1340,NZ37568306,CH,C,53830,,
Point (437749.82500000001164153 556421.92299999995157123),MH,,,NZ37567402,CH,C,54210,,
Point (437644 556418),MH,,1420,NZ37566402,CH,C,56900,,
Point (437852 556439),MH,,,NZ37568402,CH,C,53210,,
Point (437710 556434),MH,,,NZ37567405,CH,C,54340,,
Point (437691.0719999999855645 556452.01000000000931323),MH,,1070,NZ37566406,CH,C,54410,,
Point (437782 556439.5),MH,,,NZ37567401,CH,C,54030,,
Point (437623.5 556460),MH,,2170,NZ37566401,CH,C,55660,,
Point (437620 556453),MH,,,NZ37566403,CH,C,56100,,
Point (437840 556471.5),MH,,,NZ37568401,CH,C,53250,,
Point (437684 556467),MH,,960,NZ37566404,CH,C,54450,,
Point (438123 556772.5),MH,,,NZ38561701,CH,C,42010,,
Point (438119.75 556763),MH,,,NZ38561703,CH,C,42210,,
Point (437951.5 556780.5),MH,,,NZ37569704,CH,C,44190,,
Point (438121 556776.5),MH,,,NZ38561704,CH,C,41930,,
Point (438365 556369),MH,,,NZ38563302,CH,C,45680,,
Point (437955.5 556793.5),MH,,,NZ37569703,CH,C,43930,,
Point (438295 556430),MH,,,NZ38562406,CH,C,45330,,
Point (438405 556385),MH,,,NZ38564301,CH,C,45400,,
Point (438281.5 556431),MH,,,NZ38562402,CH,C,46000,,
Point (438287 556430.5),MH,,,NZ38562403,CH,C,45780,,
Point (438335.5 556446),MH,,,NZ38563401,CH,C,44340,,
Point (438300.5 556432.5),MH,,,NZ38563404,CH,C,45100,,
Point (438382 556463.5),MH,,,NZ38563405,CH,C,44660,,
Point (438378.5 556462.5),MH,,,NZ38563402,CH,C,44590,,
Point (437795 556390),MH,,1230,NZ37567305,CH,C,53950,,
Point (438296 556464),MH,,,NZ38562401,CH,C,44630,,
Point (438187 556464),MH,,,NZ38561401,CH,C,49220,,
Point (437932.75 556456),MH,,,NZ37569402,CH,C,50220,,
Point (438248.5 556501.5),MH,,,NZ38562502,CH,C,45980,,
Point (437906.5 556486.75),MH,,,NZ37569401,CH,C,51080,,
Point (437884.5 556512),MH,,,NZ37568504,CH,C,51420,,
Point (438227 556502),MH,,,NZ38562501,CH,C,46730,,
Point (437862.5 556588.5),MH,,,NZ37568506,CH,C,50020,,
Point (438198.5 556578),MH,,,NZ38561501,CH,C,47280,,
Point (438226.5 556647),MH,,,NZ38562603,CH,C,46860,,
Point (438172.5 556645),MH,,,NZ38561601,CH,C,45390,,
Point (438198 556718.5),Null,,,NZ38561705,LH,C,44630,,
Point (438221.5 556652),FC,,,NZ38562604,CH,C,46800,,
Point (438244 556744),Null,,,NZ38562701,LH,C,44410,,
Point (437937.5 556736.25),MH,,,NZ37569705,CH,C,45470,,
Point (438083 556762),MH,,,NZ38560701,CH,C,42560,,
Point (438065 556746),MH,,,NZ38560703,CH,C,43060,,
